Symbol,Count,Frequency,MedianOccurence,MinOccurence
qu'el,363,0.038749801180427826,794.0,21.0
u'ell,363,0.038749801180427826,794.0,21.0
" la
",363,0.038749801180427826,1657.0,62.0
c'est,363,0.038749801180427826,984.0,16.0
les p,362,0.03864305241684538,1338.0,11.0
"les
",360,0.03842955488968049,1447.0,63.0
 cont,360,0.03842955488968049,1208.5,14.0
e le ,359,0.03832280612609804,1715.0,14.0
r les,359,0.03832280612609804,1384.0,15.0
t par,359,0.03832280612609804,1427.0,7.0
 de t,354,0.037789062308185815,1726.5,14.0
 auss,353,0.03768231354460337,1440.0,13.0
peut ,349,0.03725531849027359,980.0,19.0
raiso,349,0.03725531849027359,1138.0,21.0
oient,348,0.037148569726691144,852.0,17.0
ent p,348,0.037148569726691144,1723.5,27.0
 ces ,347,0.0370418209631087,1369.0,13.0
 gran,346,0.03693507219952625,1170.5,26.0
", je ",346,0.03693507219952625,1045.0,9.0
es le,342,0.036508077145196466,1431.5,11.0
 avoi,342,0.036508077145196466,1392.0,19.0
quell,341,0.03640132838161402,1029.0,22.0
", que",341,0.03640132838161402,1550.0,14.0
"ent
",339,0.03618783085444913,1722.0,67.0
on de,339,0.03618783085444913,1720.0,12.0
"
que",336,0.03586758456370179,1561.5,70.0
 d'un,334,0.0356540870365369,1358.5,11.0
est p,333,0.035547338272954455,1381.0,17.0
 Cand,333,0.035547338272954455,389.0,36.0
r la ,331,0.03533384074578956,1516.0,14.0
 cons,330,0.035227091982207116,1578.0,29.0
qui s,330,0.035227091982207116,1492.0,27.0
enten,329,0.03512034321862467,845.0,11.0
ent q,329,0.03512034321862467,1417.0,25.0
ncore,328,0.03501359445504223,1678.0,20.0
ue j',327,0.03490684569145978,713.0,20.0
moins,325,0.03469334816429489,1399.0,13.0
xiste,325,0.03469334816429489,368.0,15.0
 la v,324,0.034586599400712445,1531.0,12.0
"
de ",324,0.034586599400712445,1904.5,68.0
"e, qu",324,0.034586599400712445,1898.5,8.0
encor,322,0.03437310187354755,1727.5,20.0
issan,322,0.03437310187354755,1291.5,14.0
 à la,321,0.0342663531099651,1551.0,9.0
 c'es,321,0.0342663531099651,1149.0,16.0
 corp,320,0.034159604346382655,564.5,12.0
 sur ,319,0.03405285558280021,1303.0,13.0
parti,319,0.03405285558280021,1303.0,27.0
qui e,318,0.03394610681921777,1355.5,13.0
" et
",317,0.033839358055635316,2091.0,65.0
es co,317,0.033839358055635316,1497.0,21.0
t des,315,0.03362586052847043,1573.0,13.0
e ce ,314,0.033519111764887984,1610.5,19.0
e peu,313,0.03341236300130554,1166.0,8.0
ussi ,311,0.033198865474140644,1644.0,14.0
s qu',310,0.0330921167105582,1375.0,17.0
ance ,309,0.032985367946975756,1522.0,18.0
 la m,307,0.03277187041981086,1512.0,14.0
vérit,307,0.03277187041981086,1375.0,26.0
t tou,307,0.03277187041981086,1952.0,16.0
e en ,307,0.03277187041981086,1601.0,16.0
 rais,306,0.03266512165622842,1232.5,30.0
que n,305,0.03255837289264597,678.0,17.0
seule,305,0.03255837289264597,1330.0,12.0
ion d,304,0.03245162412906353,1618.5,41.0
es au,304,0.03245162412906353,1916.0,6.0
e Die,304,0.03245162412906353,624.5,12.0
 cela,303,0.03234487536548108,1284.0,49.0
 dit ,303,0.03234487536548108,658.0,3.0
carte,302,0.032238126601898634,513.5,13.0
les a,302,0.032238126601898634,1772.5,17.0
une c,302,0.032238126601898634,1063.0,13.0
s le ,302,0.032238126601898634,1431.5,25.0
artes,301,0.03213137783831619,511.0,13.0
et le,301,0.03213137783831619,1643.0,12.0
"es, e",301,0.03213137783831619,1916.0,14.0
nt le,301,0.03213137783831619,1437.0,15.0
 idée,300,0.032024629074733746,473.5,9.0
l est,299,0.0319178803111513,1510.0,11.0
e son,299,0.0319178803111513,1636.0,10.0
 the ,298,0.03181113154756885,98.0,10.0
escar,298,0.03181113154756885,517.0,13.0
à la ,298,0.03181113154756885,1746.5,9.0
ntend,298,0.03181113154756885,818.5,11.0
is qu,298,0.03181113154756885,1771.0,42.0
ous l,298,0.03181113154756885,1889.0,12.0
Desca,297,0.0317043827839864,516.0,13.0
scart,297,0.0317043827839864,516.0,13.0
endre,296,0.031597634020403956,1878.0,24.0
 ses ,296,0.031597634020403956,1255.0,11.0
ndre ,296,0.031597634020403956,1968.0,10.0
 sans,295,0.03149088525682151,1847.0,11.0
 tous,294,0.03138413649323907,1466.5,17.0
